event_id,title,description,event_type,domain,location,mode,start_date,end_date,duration_days,registration_deadline,organizer,cost_inr,min_team_size,max_team_size,eligibility
E023,Deep Learning with PyTorch 2,"Learn neural networks, computer vision and model training using PyTorch.",Workshop,Data,Coimbatore,Hybrid,2026-10-08,2026-10-09,2,2026-09-24,Innovation Cell,499,2,5,College students
E024,Data Science Challenge 2,Analyze real-world datasets and build predictive models.,Competition,Cybersecurity,Mumbai,Hybrid,2026-12-17,2026-12-19,3,2026-12-07,Developer Community,0,2,5,Students and recent graduates
E025,React Full Stack Hackathon 2,"Build modern web applications using React, Node.js and REST APIs.",Hackathon,Cybersecurity,Pune,Hybrid,2026-11-18,2026-11-19,2,2026-11-10,Developer Community,199,2,8,College students
E026,Cybersecurity Capture the Flag 2,Solve defensive and ethical hacking challenges across networks and web systems.,Competition,Cloud,Salem,Hybrid,2026-12-21,2027-01-03,14,2026-12-17,AI Club,999,2,8,Open to all students
E027,AWS Cloud Bootcamp 2,"Learn cloud architecture, deployment, containers and AWS services.",Workshop,DevOps,Kochi,Offline,2026-11-02,2026-11-08,7,2026-10-23,Open Source Club,299,2,8,College students
E028,DevOps Engineering Workshop 2,"Practice Docker, Kubernetes, CI/CD and cloud deployment.",Workshop,Web,Mumbai,Offline,2026-11-27,2026-12-03,7,2026-11-24,Developer Community,299,4,8,Students and recent graduates
E029,Data Engineering Sprint 2,Build ETL pipelines and data systems using Python and SQL.,Hackathon,Emerging Tech,Madurai,Offline,2026-11-02,2026-11-04,3,2026-10-24,Developer Community,199,4,5,College students
E030,IoT Robotics Challenge 2,Design connected devices and autonomous robotics solutions.,Competition,Web,Coimbatore,Offline,2026-10-20,2026-10-22,3,2026-10-12,Developer Community,199,1,8,Students and recent graduates
E031,UI/UX Design Workshop 2,"Learn user research, wireframing and interface design with Figma.",Workshop,Cybersecurity,Coimbatore,Hybrid,2026-09-11,2026-09-24,14,2026-09-07,Cloud Community,0,2,4,College students
E032,Mobile App Hackathon 2,Create cross-platform mobile applications and cloud-backed services.,Hackathon,Design,Mumbai,Hybrid,2026-11-04,2026-11-05,2,2026-10-26,Cloud Community,499,1,5,Open to all students
E033,Blockchain Innovation Challenge 2,Develop decentralized applications and blockchain solutions.,Hackathon,Web,Salem,Hybrid,2026-10-25,2026-10-25,1,2026-10-11,Cloud Community,0,1,6,College students
E034,Cloud Security Conference 2,"Explore secure cloud architecture, identity and threat protection.",Conference,Design,Hyderabad,Hybrid,2026-09-20,2026-09-22,3,2026-09-07,Open Source Club,999,2,6,Students and recent graduates
E035,NLP Research Workshop 2,Build text-processing and natural-language applications.,Workshop,DevOps,Salem,Offline,2026-12-19,2027-01-01,14,2026-12-05,Cloud Community,999,2,4,College students
E036,Computer Vision Challenge 2,Build image recognition and visual AI applications.,Competition,Design,Coimbatore,Offline,2026-10-23,2026-11-05,14,2026-10-18,Open Source Club,299,2,8,College students
E037,Power BI Analytics Workshop 2,Create dashboards and business insights from structured data.,Workshop,AI,Madurai,Offline,2026-11-16,2026-11-17,2,2026-11-06,Developer Community,0,1,5,Students and recent graduates
E038,Database Engineering Workshop 2,Design reliable relational and NoSQL database systems.,Workshop,Emerging Tech,Hyderabad,Hybrid,2026-11-16,2026-11-22,7,2026-11-03,Innovation Cell,199,2,8,Open to all students
E039,Algorithms Coding Competition 2,Solve algorithmic programming problems under time constraints.,Competition,Data,Online,Online,2026-09-09,2026-09-10,2,2026-09-02,Open Source Club,0,2,5,Students and recent graduates
E040,Open Source Contribution Sprint 3,Collaborate on software projects using Git and GitHub workflows.,Workshop,Cybersecurity,Online,Online,2026-09-20,2026-09-22,3,2026-09-09,Cloud Community,999,2,4,Students and recent graduates
E041,Generative AI Hackathon 3,"Build practical AI applications using LLMs, prompt engineering and Python.",Hackathon,Cybersecurity,Pune,Offline,2026-11-02,2026-11-04,3,2026-10-25,TechFest,999,1,8,College students
E042,Machine Learning Workshop 3,"Hands-on machine learning with Python, Scikit-learn and model evaluation.",Workshop,Data,Hyderabad,Offline,2026-12-18,2026-12-18,1,2026-12-06,Open Source Club,0,3,6,Open to all students
E043,Deep Learning with PyTorch 3,"Learn neural networks, computer vision and model training using PyTorch.",Workshop,Cloud,Online,Online,2026-10-10,2026-10-16,7,2026-09-27,Innovation Cell,999,1,5,College students
E044,Data Science Challenge 3,Analyze real-world datasets and build predictive models.,Competition,Cloud,Bangalore,Hybrid,2026-12-21,2026-12-22,2,2026-12-08,Open Source Club,199,2,5,Open to all students
E045,React Full Stack Hackathon 3,"Build modern web applications using React, Node.js and REST APIs.",Hackathon,Emerging Tech,Kochi,Hybrid,2026-12-03,2026-12-05,3,2026-11-23,Cloud Community,199,2,4,College students
E046,Cybersecurity Capture the Flag 3,Solve defensive and ethical hacking challenges across networks and web systems.,Competition,Data,Kochi,Offline,2026-11-08,2026-11-10,3,2026-10-31,Open Source Club,999,2,6,Open to all students
E047,AWS Cloud Bootcamp 3,"Learn cloud architecture, deployment, containers and AWS services.",Workshop,Data,Coimbatore,Hybrid,2026-09-08,2026-09-08,1,2026-09-03,Innovation Cell,199,2,4,College students
E048,DevOps Engineering Workshop 3,"Practice Docker, Kubernetes, CI/CD and cloud deployment.",Workshop,Cloud,Coimbatore,Hybrid,2026-10-08,2026-10-08,1,2026-09-30,TechFest,499,4,5,Students and recent graduates
E049,Data Engineering Sprint 3,Build ETL pipelines and data systems using Python and SQL.,Hackathon,DevOps,Chennai,Offline,2026-11-06,2026-11-06,1,2026-11-01,TechFest,299,1,8,College students
E050,IoT Robotics Challenge 3,Design connected devices and autonomous robotics solutions.,Competition,Cloud,Coimbatore,Offline,2026-10-25,2026-10-25,1,2026-10-11,Developer Community,999,1,4,Students and recent graduates
E051,UI/UX Design Workshop 3,"Learn user research, wireframing and interface design with Figma.",Workshop,Cybersecurity,Bangalore,Offline,2026-11-12,2026-11-18,7,2026-11-09,Innovation Cell,299,4,5,Students and recent graduates
E052,Mobile App Hackathon 3,Create cross-platform mobile applications and cloud-backed services.,Hackathon,Design,Online,Online,2026-12-02,2026-12-06,5,2026-11-26,TechFest,0,1,5,Open to all students
E053,Blockchain Innovation Challenge 3,Develop decentralized applications and blockchain solutions.,Hackathon,Cloud,Bangalore,Offline,2026-10-11,2026-10-24,14,2026-10-07,Cloud Community,0,3,6,College students
E054,Cloud Security Conference 3,"Explore secure cloud architecture, identity and threat protection.",Conference,Web,Pune,Offline,2026-12-15,2026-12-16,2,2026-12-05,Innovation Cell,199,1,5,Open to all students
E055,NLP Research Workshop 3,Build text-processing and natural-language applications.,Workshop,AI,Bangalore,Hybrid,2026-12-25,2026-12-31,7,2026-12-16,Innovation Cell,0,3,5,College students
E056,Computer Vision Challenge 3,Build image recognition and visual AI applications.,Competition,Design,Hyderabad,Offline,2026-09-13,2026-09-17,5,2026-09-02,Innovation Cell,0,4,8,Open to all students
E057,Power BI Analytics Workshop 3,Create dashboards and business insights from structured data.,Workshop,Web,Coimbatore,Hybrid,2026-09-16,2026-09-22,7,2026-09-10,Innovation Cell,999,1,6,Open to all students
E058,Database Engineering Workshop 3,Design reliable relational and NoSQL database systems.,Workshop,Data,Hyderabad,Offline,2026-10-31,2026-10-31,1,2026-10-21,Developer Community,299,3,4,Open to all students
E059,Algorithms Coding Competition 3,Solve algorithmic programming problems under time constraints.,Competition,Data,Chennai,Offline,2026-11-08,2026-11-10,3,2026-10-28,AI Club,299,4,6,Students and recent graduates
E060,Open Source Contribution Sprint 4,Collaborate on software projects using Git and GitHub workflows.,Workshop,DevOps,Mumbai,Hybrid,2026-10-10,2026-10-16,7,2026-10-06,Innovation Cell,0,4,4,Students and recent graduates
